user;age;gender;residence;religion;maritalstatus;profession;politicalorientation;sexualorientation;numfriends;like1;like2;like3;classvalue;auth;community
999;18-25;female;Boston;Christian;Married;Sales and office;Center Right;Heterosexual;LOW;entertainment;music artist;soccer club;NO;0.054348;8
998;26-35;male;Santa Barbara;Hindu;Single;Natural resources construction;Far Left;Heterosexual;LOW;tv show;entertainment;drink brand;NO;0.021739;9
997;56-65;female;Santa Barbara;Hindu;Widowed;Production transportation;Center;Heterosexual;LOW;entertainment;entertainment;music artist;NO;0.043478;7
996;36-45;female;Santa Barbara;Hindu;Married;Natural resources construction;Left;Homosexual;LOW;entertainment;entertainment;music artist;NO;0.065217;9
995;36-45;female;Cambridge;Buddhist;Divorced;Sales and office;Far Left;Homosexual;LOW;drink brand;tv show;drink brand;NO;0.043478;0
994;66-75;female;Palo Alto;Christian;Single;Production transportation;Left;Heterosexual;LOW;entertainment;entertainment;music artist;NO;0.076087;4
993;18-25;male;Winthrop;Christian;Single;Service;Left;Bisexual;LOW;entertainment;entertainment;music artist;NO;0.076087;8
992;18-25;male;Winthrop;Muslim;Married;Service;Right;Homosexual;LOW;music artist;tv show;soccer club;NO;0.043478;5
991;26-35;female;Cambridge;Buddhist;Widowed;Sales and office;Left;Heterosexual;LOW;tv show;drink brand;soccer club;YES;0.054348;2
990;46-55;female;Santa Barbara;Jewish;Married;Service;Center Right;Heterosexual;LOW;tv show;music artist;drink brand;NO;0.054348;6
989;66-75;female;Santa Barbara;Muslim;Divorced;Natural resources construction;Far Left;Heterosexual;LOW;music artist;tv show;soccer club;NO;0.043478;7
988;36-45;female;Santa Barbara;Muslim;Widowed;Natural resources construction;Center Left;Bisexual;LOW;tv show;drink brand;soccer club;NO;0.076087;3
987;66-75;male;San Jose;Christian;Divorced;Production transportation;Far Left;Heterosexual;LOW;entertainment;tv show;entertainment;NO;0.043478;4
986;46-55;female;Cambridge;Buddhist;Married;Manager;Center;Heterosexual;LOW;music artist;music artist;drink brand;NO;0.076087;2
985;66-75;female;Boston;Hindu;Single;Natural resources construction;Left;Heterosexual;LOW;music artist;music artist;entertainment;NO;0.086957;7
984;66-75;female;Boston;Hindu;Single;Natural resources construction;Left;Heterosexual;LOW;music artist;music artist;entertainment;NO;0.141304;7
983;56-65;female;Santa Barbara;Hindu;Widowed;Production transportation;Center;Heterosexual;LOW;entertainment;entertainment;music artist;NO;0.021739;7
982;18-25;female;Boston;Christian;Married;Sales and office;Center Right;Heterosexual;LOW;entertainment;music artist;soccer club;NO;0.043478;8
979;66-75;female;Santa Barbara;Hindu;Married;Student;Left;Heterosexual;LOW;tv show;entertainment;drink brand;NO;0.021739;9
978;76-85;female;Winthrop;Christian;Single;Professional;Center Right;Heterosexual;LOW;entertainment;entertainment;entertainment;NO;0.054348;6
977;66-75;female;Santa Barbara;Muslim;Divorced;Natural resources construction;Far Left;Heterosexual;LOW;music artist;tv show;soccer club;NO;0.043478;7
976;46-55;female;Santa Barbara;Hindu;Married;Production transportation;Right;Bisexual;LOW;entertainment;entertainment;music artist;NO;0.152174;7
975;66-75;female;Santa Barbara;Hindu;Widowed;Production transportation;Left;Heterosexual;LOW;entertainment;entertainment;music artist;NO;0.021739;3
973;26-35;female;Boston;Christian;Married;Sales and office;Center Right;Bisexual;LOW;music artist;music artist;drink brand;NO;0.086957;6
972;18-25;female;Winthrop;Muslim;Single;Professional;Center Right;Heterosexual;LOW;music artist;tv show;soccer club;NO;0.141304;5
971;26-35;female;Winthrop;Christian;Widowed;Sales and office;Center Right;Asexual;LOW;entertainment;entertainment;music artist;NO;0.076087;8
