user;age;gender;residence;religion;maritalstatus;profession;politicalorientation;sexualorientation;numfriends;like1;like2;like3;classvalue;auth;community
9997;18-25;female;Winthrop;Muslim;Married;Manager;Far Left;Heterosexual;LOW;drink brand;tv show;drink brand;NO;0.017045;5
9996;46-55;female;Cambridge;Sikh;Single;Sales and office;Center;Heterosexual;LOW;entertainment;entertainment;music artist;NO;0.011364;2
9994;56-65;male;Santa Barbara;Hindu;Widowed;Natural resources construction;Left;Heterosexual;LOW;tv show;entertainment;drink brand;NO;0.011364;9
9992;56-65;female;Santa Barbara;Buddhist;Divorced;Natural resources construction;Right;Bisexual;LOW;tv show;entertainment;entertainment;NO;0.022727;3
9988;56-65;male;Winthrop;Hindu;Single;Natural resources construction;Right;Heterosexual;LOW;drink brand;tv show;drink brand;NO;0.022727;3
9987;36-45;female;Cambridge;Buddhist;Divorced;Sales and office;Far Left;Heterosexual;LOW;entertainment;tv show;soccer club;NO;0.017045;2
9986;26-35;female;Cambridge;Hindu;Single;Sales and office;Left;Heterosexual;LOW;entertainment;tv show;soccer club;YES;0.011364;2
9985;18-25;female;Winthrop;Muslim;Widowed;Professional;Center;Asexual;LOW;entertainment;entertainment;music artist;NO;0.022727;5
9984;18-25;female;Boston;Christian;Divorced;Manager;Left;Heterosexual;LOW;drink brand;drink brand;entertainment;NO;0.005682;1
9983;26-35;female;Winthrop;Buddhist;Divorced;Professional;Center;Heterosexual;LOW;music artist;music artist;entertainment;NO;0.005682;5
9982;36-45;male;Winthrop;No religious affiliation;Widowed;Professional;Center;Heterosexual;LOW;tv show;music artist;drink brand;NO;0.011364;0
9981;26-35;male;Winthrop;No religious affiliation;Married;Manager;Center Right;Heterosexual;LOW;music artist;music artist;drink brand;NO;0.022727;0
9978;18-25;female;Palo Alto;Buddhist;Single;Sales and office;Center;Heterosexual;LOW;entertainment;tv show;soccer club;NO;0.005682;2
9976;66-75;male;Santa Barbara;Other religions;Divorced;Production transportation;Center Left;Bisexual;LOW;tv show;entertainment;entertainment;NO;0.011364;3
