community;attribute;value;frequency
ALL;AGE;18-25;10083
ALL;AGE;26-35;9945
ALL;AGE;36-45;7685
ALL;AGE;46-55;2843
ALL;AGE;56-65;8543
ALL;AGE;66-75;3001
ALL;AGE;76-85;1104
ALL;GENDER;Male;17108
ALL;GENDER;Female;26388
ALL;RESIDENCE;PaloAlto;4894
ALL;RESIDENCE;SantaBarbara;9695
ALL;RESIDENCE;Winthrop;8110
ALL;RESIDENCE;Boston;8514
ALL;RESIDENCE;Cambridge;7930
ALL;RESIDENCE;SanJose;4082
ALL;RELIGION;Buddhist;8388
ALL;RELIGION;Christian;8933
ALL;RELIGION;Hindu;11273
ALL;RELIGION;Jewish;3912
ALL;RELIGION;Muslim;4017
ALL;RELIGION;Sikh;709
ALL;RELIGION;TraditionalSpirituality;0
ALL;RELIGION;OtherReligion;0
ALL;RELIGION;Noreligiousaffiliation;4778
ALL;MARITAL;Single;14863
ALL;MARITAL;Married;14827
ALL;MARITAL;Divorced;5655
ALL;MARITAL;Widowed;7834
ALL;PROFESSION;Manager;2991
ALL;PROFESSION;Professional;7930
ALL;PROFESSION;Service;2958
ALL;PROFESSION;Salesandoffice;12552
ALL;PROFESSION;Naturalresourcesconstructionandmaintenance;0
ALL;PROFESSION;Productiontransportationandmaterialmoving;0
ALL;PROFESSION;Student;4348
ALL;POLITICAL;FarLeft;3980
ALL;POLITICAL;Left;8516
ALL;POLITICAL;CenterLeft;5855
ALL;POLITICAL;Center;13025
ALL;POLITICAL;CenterRight;7589
ALL;POLITICAL;Right;4064
ALL;POLITICAL;FarRight;183
ALL;SEXUALITY;Asexual;1134
ALL;SEXUALITY;Bisexual;2316
ALL;SEXUALITY;Heterosexual;37889
ALL;SEXUALITY;Homosexual;2197
ALL;LIKE1;entertainment;14483
ALL;LIKE1;music artist;8186
ALL;LIKE1;drink brand;6409
ALL;LIKE1;tv show;14173
ALL;LIKE2;entertainment;12954
ALL;LIKE2;music artist;13236
ALL;LIKE2;tv show;11025
ALL;LIKE2;drink brand;6034
ALL;LIKE3;music artist;5712
ALL;LIKE3;entertainment;10138
ALL;LIKE3;drink brand;14303
ALL;LIKE3;soccer club;13078
9;AGE;18-25;531
9;AGE;26-35;452
9;AGE;36-45;353
9;AGE;46-55;927
9;AGE;56-65;3641
9;AGE;66-75;702
9;AGE;76-85;150
9;GENDER;Male;3937
9;GENDER;Female;2887
9;RESIDENCE;PaloAlto;832
9;RESIDENCE;SantaBarbara;3836
9;RESIDENCE;Winthrop;406
9;RESIDENCE;Boston;420
9;RESIDENCE;Cambridge;391
9;RESIDENCE;SanJose;893
9;RELIGION;Buddhist;934
9;RELIGION;Christian;534
9;RELIGION;Hindu;4306
9;RELIGION;Jewish;150
9;RELIGION;Muslim;445
9;RELIGION;Sikh;210
9;RELIGION;TraditionalSpirituality;0
9;RELIGION;OtherReligion;0
9;RELIGION;Noreligiousaffiliation;26
9;MARITAL;Single;1766
9;MARITAL;Married;1971
9;MARITAL;Divorced;695
9;MARITAL;Widowed;2324
9;PROFESSION;Manager;250
9;PROFESSION;Professional;347
9;PROFESSION;Service;279
9;PROFESSION;Salesandoffice;382
9;PROFESSION;Naturalresourcesconstructionandmaintenance;0
9;PROFESSION;Productiontransportationandmaterialmoving;0
9;PROFESSION;Student;528
9;POLITICAL;FarLeft;481
9;POLITICAL;Left;3951
9;POLITICAL;CenterLeft;899
9;POLITICAL;Center;653
9;POLITICAL;CenterRight;369
9;POLITICAL;Right;375
9;POLITICAL;FarRight;32
9;SEXUALITY;Asexual;171
9;SEXUALITY;Bisexual;377
9;SEXUALITY;Heterosexual;5990
9;SEXUALITY;Homosexual;336
9;LIKE1;entertainment;1470
9;LIKE1;music artist;1028
9;LIKE1;drink brand;867
9;LIKE1;tv show;3413
9;LIKE2;entertainment;4099
9;LIKE2;music artist;1013
9;LIKE2;tv show;867
9;LIKE2;drink brand;819
9;LIKE3;music artist;1025
9;LIKE3;entertainment;1044
9;LIKE3;drink brand;3660
9;LIKE3;soccer club;1051
8;AGE;18-25;2274
8;AGE;26-35;918
8;AGE;36-45;193
8;AGE;46-55;112
8;AGE;56-65;81
8;AGE;66-75;98
8;AGE;76-85;93
8;GENDER;Male;524
8;GENDER;Female;3264
8;RESIDENCE;PaloAlto;172
8;RESIDENCE;SantaBarbara;205
8;RESIDENCE;Winthrop;2341
8;RESIDENCE;Boston;423
8;RESIDENCE;Cambridge;436
8;RESIDENCE;SanJose;193
8;RELIGION;Buddhist;121
8;RELIGION;Christian;2568
8;RELIGION;Hindu;224
8;RELIGION;Jewish;325
8;RELIGION;Muslim;373
8;RELIGION;Sikh;0
8;RELIGION;TraditionalSpirituality;0
8;RELIGION;OtherReligion;0
8;RELIGION;Noreligiousaffiliation;20
8;MARITAL;Single;2187
8;MARITAL;Married;918
8;MARITAL;Divorced;344
8;MARITAL;Widowed;320
8;PROFESSION;Manager;284
8;PROFESSION;Professional;2288
8;PROFESSION;Service;412
8;PROFESSION;Salesandoffice;421
