community;attribute;value;frequency
ALL;AGE;18-25;186
ALL;AGE;26-35;182
ALL;AGE;36-45;183
ALL;AGE;46-55;49
ALL;AGE;56-65;242
ALL;AGE;66-75;84
ALL;AGE;76-85;27
ALL;GENDER;Male;437
ALL;GENDER;Female;520
ALL;RESIDENCE;PaloAlto;102
ALL;RESIDENCE;SantaBarbara;234
ALL;RESIDENCE;Winthrop;194
ALL;RESIDENCE;Boston;162
ALL;RESIDENCE;Cambridge;152
ALL;RESIDENCE;SanJose;111
ALL;RELIGION;Buddhist;160
ALL;RELIGION;Christian;173
ALL;RELIGION;Hindu;317
ALL;RELIGION;Jewish;94
ALL;RELIGION;Muslim;58
ALL;RELIGION;Sikh;5
ALL;RELIGION;TraditionalSpirituality;0
ALL;RELIGION;OtherReligion;0
ALL;RELIGION;Noreligiousaffiliation;114
ALL;MARITAL;Single;308
ALL;MARITAL;Married;377
ALL;MARITAL;Divorced;88
ALL;MARITAL;Widowed;181
ALL;PROFESSION;Manager;62
ALL;PROFESSION;Professional;171
ALL;PROFESSION;Service;49
ALL;PROFESSION;Salesandoffice;260
ALL;PROFESSION;Naturalresourcesconstructionandmaintenance;0
ALL;PROFESSION;Productiontransportationandmaterialmoving;0
ALL;PROFESSION;Student;90
ALL;POLITICAL;FarLeft;144
ALL;POLITICAL;Left;145
ALL;POLITICAL;CenterLeft;115
ALL;POLITICAL;Center;265
ALL;POLITICAL;CenterRight;145
ALL;POLITICAL;Right;141
ALL;POLITICAL;FarRight;1
ALL;SEXUALITY;Asexual;23
ALL;SEXUALITY;Bisexual;47
ALL;SEXUALITY;Heterosexual;838
ALL;SEXUALITY;Homosexual;52
ALL;LIKE1;entertainment;295
ALL;LIKE1;music artist;145
ALL;LIKE1;drink brand;155
ALL;LIKE1;tv show;361
ALL;LIKE2;entertainment;326
ALL;LIKE2;music artist;232
ALL;LIKE2;tv show;276
ALL;LIKE2;drink brand;120
ALL;LIKE3;music artist;116
ALL;LIKE3;entertainment;249
ALL;LIKE3;drink brand;312
ALL;LIKE3;soccer club;273
9;AGE;18-25;5
9;AGE;26-35;6
9;AGE;36-45;3
9;AGE;46-55;3
