community;attribute;value;frequency
ALL;AGE;18-25;2332
ALL;AGE;26-35;1926
ALL;AGE;36-45;794
ALL;AGE;46-55;463
ALL;AGE;56-65;1652
ALL;AGE;66-75;2024
ALL;AGE;76-85;445
ALL;GENDER;Male;3228
ALL;GENDER;Female;6418
ALL;RESIDENCE;PaloAlto;2236
ALL;RESIDENCE;SantaBarbara;1981
ALL;RESIDENCE;Winthrop;912
ALL;RESIDENCE;Boston;992
ALL;RESIDENCE;Cambridge;1199
ALL;RESIDENCE;SanJose;2310
ALL;RELIGION;Buddhist;1320
ALL;RELIGION;Christian;3292
ALL;RELIGION;Hindu;1907
ALL;RELIGION;Jewish;1459
ALL;RELIGION;Muslim;935
ALL;RELIGION;Sikh;90
ALL;RELIGION;TraditionalSpirituality;0
ALL;RELIGION;OtherReligion;0
ALL;RELIGION;Noreligiousaffiliation;389
ALL;MARITAL;Single;3416
ALL;MARITAL;Married;3693
ALL;MARITAL;Divorced;1144
ALL;MARITAL;Widowed;1382
ALL;PROFESSION;Manager;464
ALL;PROFESSION;Professional;1008
ALL;PROFESSION;Service;503
ALL;PROFESSION;Salesandoffice;1547
ALL;PROFESSION;Naturalresourcesconstructionandmaintenance;0
ALL;PROFESSION;Productiontransportationandmaterialmoving;0
ALL;PROFESSION;Student;1978
ALL;POLITICAL;FarLeft;1963
ALL;POLITICAL;Left;1431
ALL;POLITICAL;CenterLeft;2066
ALL;POLITICAL;Center;1583
ALL;POLITICAL;CenterRight;1023
ALL;POLITICAL;Right;1516
ALL;POLITICAL;FarRight;58
ALL;SEXUALITY;Asexual;255
ALL;SEXUALITY;Bisexual;464
ALL;SEXUALITY;Heterosexual;8457
ALL;SEXUALITY;Homosexual;477
ALL;LIKE1;entertainment;3638
ALL;LIKE1;music artist;1534
ALL;LIKE1;drink brand;2282
ALL;LIKE1;tv show;2185
ALL;LIKE2;entertainment;2781
ALL;LIKE2;music artist;1551
ALL;LIKE2;tv show;3091
ALL;LIKE2;drink brand;2214
ALL;LIKE3;music artist;1261
ALL;LIKE3;entertainment;4508
ALL;LIKE3;drink brand;1688
ALL;LIKE3;soccer club;2179
9;AGE;18-25;5
9;AGE;26-35;1
9;AGE;36-45;3
9;AGE;46-55;8
9;AGE;56-65;61
9;AGE;66-75;3
9;AGE;76-85;0
9;GENDER;Male;61
9;GENDER;Female;20
9;RESIDENCE;PaloAlto;7
9;RESIDENCE;SantaBarbara;59
9;RESIDENCE;Winthrop;5
9;RESIDENCE;Boston;4
9;RESIDENCE;Cambridge;1
9;RESIDENCE;SanJose;5
9;RELIGION;Buddhist;7
9;RELIGION;Christian;2
9;RELIGION;Hindu;67
9;RELIGION;Jewish;0
9;RELIGION;Muslim;0
9;RELIGION;Sikh;5
9;RELIGION;TraditionalSpirituality;0
9;RELIGION;OtherReligion;0
9;RELIGION;Noreligiousaffiliation;0
9;MARITAL;Single;9
9;MARITAL;Married;15
9;MARITAL;Divorced;8
9;MARITAL;Widowed;49
9;PROFESSION;Manager;2
9;PROFESSION;Professional;3
9;PROFESSION;Service;3
9;PROFESSION;Salesandoffice;1
9;PROFESSION;Naturalresourcesconstructionandmaintenance;0
9;PROFESSION;Productiontransportationandmaterialmoving;0
9;PROFESSION;Student;1
9;POLITICAL;FarLeft;4
9;POLITICAL;Left;62
9;POLITICAL;CenterLeft;6
9;POLITICAL;Center;5
9;POLITICAL;CenterRight;2
9;POLITICAL;Right;2
9;POLITICAL;FarRight;0
9;SEXUALITY;Asexual;0
9;SEXUALITY;Bisexual;7
9;SEXUALITY;Heterosexual;71
9;SEXUALITY;Homosexual;3
9;LIKE1;entertainment;12
9;LIKE1;music artist;6
9;LIKE1;drink brand;6
9;LIKE1;tv show;57
9;LIKE2;entertainment;66
9;LIKE2;music artist;6
9;LIKE2;tv show;6
9;LIKE2;drink brand;3
9;LIKE3;music artist;9
9;LIKE3;entertainment;4
9;LIKE3;drink brand;62
9;LIKE3;soccer club;6
8;AGE;18-25;5
8;AGE;26-35;1
8;AGE;36-45;0
8;AGE;46-55;0
8;AGE;56-65;0
8;AGE;66-75;1
8;AGE;76-85;0
8;GENDER;Male;0
8;GENDER;Female;7
8;RESIDENCE;PaloAlto;0
8;RESIDENCE;SantaBarbara;0
8;RESIDENCE;Winthrop;7
8;RESIDENCE;Boston;0
8;RESIDENCE;Cambridge;0
8;RESIDENCE;SanJose;0
8;RELIGION;Buddhist;0
8;RELIGION;Christian;5
8;RELIGION;Hindu;1
8;RELIGION;Jewish;0
8;RELIGION;Muslim;0
8;RELIGION;Sikh;0
8;RELIGION;TraditionalSpirituality;0
8;RELIGION;OtherReligion;0
8;RELIGION;Noreligiousaffiliation;0
8;MARITAL;Single;6
8;MARITAL;Married;0
8;MARITAL;Divorced;0
8;MARITAL;Widowed;1
8;PROFESSION;Manager;0
8;PROFESSION;Professional;6
8;PROFESSION;Service;0
8;PROFESSION;Salesandoffice;0
8;PROFESSION;Naturalresourcesconstructionandmaintenance;0
8;PROFESSION;Productiontransportationandmaterialmoving;0
8;PROFESSION;Student;1
8;POLITICAL;FarLeft;0
8;POLITICAL;Left;0
8;POLITICAL;CenterLeft;0
8;POLITICAL;Center;1
8;POLITICAL;CenterRight;5
8;POLITICAL;Right;1
8;POLITICAL;FarRight;0
8;SEXUALITY;Asexual;0
8;SEXUALITY;Bisexual;0
8;SEXUALITY;Heterosexual;7
8;SEXUALITY;Homosexual;0
8;LIKE1;entertainment;5
8;LIKE1;music artist;1
8;LIKE1;drink brand;1
8;LIKE1;tv show;0
8;LIKE2;entertainment;1
8;LIKE2;music artist;5
8;LIKE2;tv show;1
8;LIKE2;drink brand;0
8;LIKE3;music artist;1
8;LIKE3;entertainment;0
8;LIKE3;drink brand;2
8;LIKE3;soccer club;4
7;AGE;18-25;0
7;AGE;26-35;0
7;AGE;36-45;0
7;AGE;46-55;0
7;AGE;56-65;1
7;AGE;66-75;0
7;AGE;76-85;0
7;GENDER;Male;1
7;GENDER;Female;0
7;RESIDENCE;PaloAlto;0
7;RESIDENCE;SantaBarbara;1
7;RESIDENCE;Winthrop;0
7;RESIDENCE;Boston;0
7;RESIDENCE;Cambridge;0
7;RESIDENCE;SanJose;0
7;RELIGION;Buddhist;0
7;RELIGION;Christian;0
7;RELIGION;Hindu;1
7;RELIGION;Jewish;0
7;RELIGION;Muslim;0
7;RELIGION;Sikh;0
7;RELIGION;TraditionalSpirituality;0
7;RELIGION;OtherReligion;0
7;RELIGION;Noreligiousaffiliation;0
7;MARITAL;Single;0
7;MARITAL;Married;0
7;MARITAL;Divorced;0
7;MARITAL;Widowed;1
7;PROFESSION;Manager;0
7;PROFESSION;Professional;0
7;PROFESSION;Service;0
7;PROFESSION;Salesandoffice;0
7;PROFESSION;Naturalresourcesconstructionandmaintenance;0
7;PROFESSION;Productiontransportationandmaterialmoving;0
7;PROFESSION;Student;0
7;POLITICAL;FarLeft;1
7;POLITICAL;Left;0
7;POLITICAL;CenterLeft;0
7;POLITICAL;Center;0
7;POLITICAL;CenterRight;0
7;POLITICAL;Right;0
7;POLITICAL;FarRight;0
7;SEXUALITY;Asexual;0
7;SEXUALITY;Bisexual;0
7;SEXUALITY;Heterosexual;1
7;SEXUALITY;Homosexual;0
7;LIKE1;entertainment;0
7;LIKE1;music artist;1
7;LIKE1;drink brand;0
7;LIKE1;tv show;0
7;LIKE2;entertainment;0
7;LIKE2;music artist;0
7;LIKE2;tv show;1
7;LIKE2;drink brand;0
7;LIKE3;music artist;0
7;LIKE3;entertainment;0
7;LIKE3;drink brand;0
7;LIKE3;soccer club;1
6;AGE;18-25;15
6;AGE;26-35;3
6;AGE;36-45;0
6;AGE;46-55;1
6;AGE;56-65;0
6;AGE;66-75;0
6;AGE;76-85;0
6;GENDER;Male;0
6;GENDER;Female;19
6;RESIDENCE;PaloAlto;0
6;RESIDENCE;SantaBarbara;0
6;RESIDENCE;Winthrop;17
6;RESIDENCE;Boston;1
6;RESIDENCE;Cambridge;1
6;RESIDENCE;SanJose;0
6;RELIGION;Buddhist;1
