community;attribute;value;frequency
ALL;AGE;18-25;10065
ALL;AGE;26-35;10247
ALL;AGE;36-45;7517
ALL;AGE;46-55;2620
ALL;AGE;56-65;8726
ALL;AGE;66-75;2922
ALL;AGE;76-85;1136
ALL;GENDER;Male;17041
ALL;GENDER;Female;26457
ALL;RESIDENCE;PaloAlto;5040
ALL;RESIDENCE;SantaBarbara;9541
ALL;RESIDENCE;Winthrop;8123
ALL;RESIDENCE;Boston;8371
ALL;RESIDENCE;Cambridge;8032
ALL;RESIDENCE;SanJose;4097
ALL;RELIGION;Buddhist;8617
ALL;RELIGION;Christian;9056
ALL;RELIGION;Hindu;10962
ALL;RELIGION;Jewish;4007
ALL;RELIGION;Muslim;3861
ALL;RELIGION;Sikh;749
ALL;RELIGION;TraditionalSpirituality;0
ALL;RELIGION;OtherReligion;0
ALL;RELIGION;Noreligiousaffiliation;4743
ALL;MARITAL;Single;14720
ALL;MARITAL;Married;14596
ALL;MARITAL;Divorced;6043
ALL;MARITAL;Widowed;7860
ALL;PROFESSION;Manager;2998
ALL;PROFESSION;Professional;8142
ALL;PROFESSION;Service;2683
ALL;PROFESSION;Salesandoffice;12662
ALL;PROFESSION;Naturalresourcesconstructionandmaintenance;0
ALL;PROFESSION;Productiontransportationandmaterialmoving;0
ALL;PROFESSION;Student;4368
ALL;POLITICAL;FarLeft;3884
ALL;POLITICAL;Left;8718
ALL;POLITICAL;CenterLeft;5883
ALL;POLITICAL;Center;12946
ALL;POLITICAL;CenterRight;7456
ALL;POLITICAL;Right;4118
ALL;POLITICAL;FarRight;198
ALL;SEXUALITY;Asexual;1120
ALL;SEXUALITY;Bisexual;2162
ALL;SEXUALITY;Heterosexual;38106
ALL;SEXUALITY;Homosexual;2148
ALL;LIKE1;entertainment;15006
ALL;LIKE1;music artist;7922
ALL;LIKE1;drink brand;6116
ALL;LIKE1;tv show;14211
ALL;LIKE2;entertainment;13192
ALL;LIKE2;music artist;13043
ALL;LIKE2;tv show;10733
ALL;LIKE2;drink brand;6261
ALL;LIKE3;music artist;6091
ALL;LIKE3;entertainment;10037
ALL;LIKE3;drink brand;13749
ALL;LIKE3;soccer club;13337
9;AGE;18-25;536
9;AGE;26-35;467
