community;attribute;value;frequency
ALL;AGE;18-25;10020
ALL;AGE;26-35;10053
ALL;AGE;36-45;7766
ALL;AGE;46-55;2748
ALL;AGE;56-65;8469
ALL;AGE;66-75;3112
ALL;AGE;76-85;1173
ALL;GENDER;Male;16976
ALL;GENDER;Female;26640
ALL;RESIDENCE;PaloAlto;4757
ALL;RESIDENCE;SantaBarbara;9620
ALL;RESIDENCE;Winthrop;8210
ALL;RESIDENCE;Boston;8494
ALL;RESIDENCE;Cambridge;7845
ALL;RESIDENCE;SanJose;4361
ALL;RELIGION;Buddhist;8530
ALL;RELIGION;Christian;9133
ALL;RELIGION;Hindu;11353
ALL;RELIGION;Jewish;3893
ALL;RELIGION;Muslim;4064
ALL;RELIGION;Sikh;705
ALL;RELIGION;TraditionalSpirituality;0
ALL;RELIGION;OtherReligion;0
ALL;RELIGION;Noreligiousaffiliation;4519
ALL;MARITAL;Single;15016
ALL;MARITAL;Married;14652
ALL;MARITAL;Divorced;5812
ALL;MARITAL;Widowed;7822
ALL;PROFESSION;Manager;2972
ALL;PROFESSION;Professional;8012
ALL;PROFESSION;Service;2889
ALL;PROFESSION;Salesandoffice;12764
ALL;PROFESSION;Naturalresourcesconstructionandmaintenance;0
ALL;PROFESSION;Productiontransportationandmaterialmoving;0
ALL;PROFESSION;Student;4320
ALL;POLITICAL;FarLeft;3869
ALL;POLITICAL;Left;8645
ALL;POLITICAL;CenterLeft;5819
ALL;POLITICAL;Center;13305
ALL;POLITICAL;CenterRight;7435
ALL;POLITICAL;Right;4129
ALL;POLITICAL;FarRight;157
ALL;SEXUALITY;Asexual;1144
ALL;SEXUALITY;Bisexual;2036
ALL;SEXUALITY;Heterosexual;38238
ALL;SEXUALITY;Homosexual;2215
ALL;LIKE1;entertainment;14843
ALL;LIKE1;music artist;7900
ALL;LIKE1;drink brand;6218
ALL;LIKE1;tv show;14447
ALL;LIKE2;entertainment;13275
ALL;LIKE2;music artist;13057
ALL;LIKE2;tv show;10799
ALL;LIKE2;drink brand;6268
ALL;LIKE3;music artist;6249
ALL;LIKE3;entertainment;9743
ALL;LIKE3;drink brand;14158
ALL;LIKE3;soccer club;13200
9;AGE;18-25;487
9;AGE;26-35;486
9;AGE;36-45;363
9;AGE;46-55;869
9;AGE;56-65;3673
9;AGE;66-75;773
9;AGE;76-85;187
9;GENDER;Male;3909
9;GENDER;Female;2993
9;RESIDENCE;PaloAlto;708
9;RESIDENCE;SantaBarbara;3750
9;RESIDENCE;Winthrop;448
9;RESIDENCE;Boston;509
9;RESIDENCE;Cambridge;442
9;RESIDENCE;SanJose;955
9;RELIGION;Buddhist;897
9;RELIGION;Christian;541
9;RELIGION;Hindu;4399
9;RELIGION;Jewish;170
9;RELIGION;Muslim;446
9;RELIGION;Sikh;202
9;RELIGION;TraditionalSpirituality;0
9;RELIGION;OtherReligion;0
9;RELIGION;Noreligiousaffiliation;53
9;MARITAL;Single;1758
9;MARITAL;Married;2032
9;MARITAL;Divorced;733
9;MARITAL;Widowed;2312
9;PROFESSION;Manager;282
9;PROFESSION;Professional;373
9;PROFESSION;Service;304
9;PROFESSION;Salesandoffice;411
9;PROFESSION;Naturalresourcesconstructionandmaintenance;0
9;PROFESSION;Productiontransportationandmaterialmoving;0
9;PROFESSION;Student;504
9;POLITICAL;FarLeft;455
9;POLITICAL;Left;4083
9;POLITICAL;CenterLeft;901
9;POLITICAL;Center;656
9;POLITICAL;CenterRight;349
9;POLITICAL;Right;374
9;POLITICAL;FarRight;37
9;SEXUALITY;Asexual;215
9;SEXUALITY;Bisexual;319
9;SEXUALITY;Heterosexual;6046
9;SEXUALITY;Homosexual;365
9;LIKE1;entertainment;1496
9;LIKE1;music artist;1151
9;LIKE1;drink brand;841
9;LIKE1;tv show;3379
9;LIKE2;entertainment;4049
9;LIKE2;music artist;1149
9;LIKE2;tv show;818
9;LIKE2;drink brand;862
9;LIKE3;music artist;1103
9;LIKE3;entertainment;1090
9;LIKE3;drink brand;3592
9;LIKE3;soccer club;1083
8;AGE;18-25;2227
8;AGE;26-35;925
8;AGE;36-45;227
8;AGE;46-55;107
8;AGE;56-65;93
8;AGE;66-75;101
8;AGE;76-85;96
8;GENDER;Male;541
8;GENDER;Female;3249
8;RESIDENCE;PaloAlto;216
8;RESIDENCE;SantaBarbara;211
8;RESIDENCE;Winthrop;2321
8;RESIDENCE;Boston;402
8;RESIDENCE;Cambridge;420
8;RESIDENCE;SanJose;200
8;RELIGION;Buddhist;146
8;RELIGION;Christian;2640
8;RELIGION;Hindu;176
8;RELIGION;Jewish;249
8;RELIGION;Muslim;377
8;RELIGION;Sikh;0
8;RELIGION;TraditionalSpirituality;0
8;RELIGION;OtherReligion;0
8;RELIGION;Noreligiousaffiliation;40
8;MARITAL;Single;2200
8;MARITAL;Married;935
8;MARITAL;Divorced;324
8;MARITAL;Widowed;320
8;PROFESSION;Manager;329
8;PROFESSION;Professional;2247
8;PROFESSION;Service;407
8;PROFESSION;Salesandoffice;430
