user;age;gender;residence;religion;maritalstatus;profession;politicalorientation;sexualorientation;numfriends;like1;like2;like3;classvalue;auth;community
999;36-45;male;Winthrop;Christian;Married;Sales and office;Center Left;Heterosexual;LOW;drink brand;tv show;drink brand;NO;0.054348;8
998;56-65;male;San Jose;Hindu;Widowed;Professional;Center;Heterosexual;LOW;tv show;drink brand;soccer club;NO;0.021739;9
997;56-65;male;Cambridge;Hindu;Married;Student;Far Left;Bisexual;LOW;music artist;music artist;entertainment;NO;0.043478;7
996;56-65;male;Boston;Christian;Widowed;Manager;Left;Heterosexual;LOW;drink brand;tv show;drink brand;NO;0.065217;9
995;18-25;male;Cambridge;Muslim;Married;Professional;Right;Heterosexual;LOW;entertainment;entertainment;music artist;NO;0.043478;0
994;56-65;female;San Jose;Jewish;Married;Production transportation;Left;Heterosexual;LOW;drink brand;tv show;soccer club;NO;0.076087;4
993;18-25;female;San Jose;Christian;Single;Manager;Center Right;Heterosexual;LOW;drink brand;tv show;drink brand;NO;0.076087;8
992;36-45;female;Boston;Buddhist;Single;Professional;Left;Bisexual;LOW;music artist;tv show;soccer club;NO;0.043478;5
991;36-45;female;Cambridge;Christian;Married;Sales and office;Right;Bisexual;LOW;entertainment;entertainment;music artist;NO;0.054348;2
990;26-35;female;Winthrop;Jewish;Single;Sales and office;Far Left;Heterosexual;LOW;entertainment;entertainment;music artist;NO;0.054348;6
989;46-55;female;San Jose;Hindu;Widowed;Natural resources construction;Left;Heterosexual;LOW;entertainment;entertainment;entertainment;NO;0.043478;7
988;56-65;male;San Jose;Buddhist;Widowed;Student;Far Left;Heterosexual;LOW;tv show;entertainment;entertainment;NO;0.076087;3
987;76-85;male;Boston;Christian;Married;Professional;Far Left;Heterosexual;LOW;entertainment;tv show;entertainment;NO;0.043478;4
986;36-45;female;Cambridge;Hindu;Single;Sales and office;Center Left;Heterosexual;LOW;music artist;music artist;entertainment;NO;0.076087;2
985;56-65;male;Santa Barbara;Hindu;Single;Professional;Left;Asexual;LOW;entertainment;entertainment;entertainment;NO;0.086957;7
984;56-65;male;Santa Barbara;Hindu;Single;Professional;Left;Asexual;LOW;entertainment;entertainment;entertainment;NO;0.141304;7
983;56-65;male;Cambridge;Hindu;Married;Student;Far Left;Bisexual;LOW;music artist;music artist;entertainment;NO;0.021739;7
982;36-45;male;Winthrop;Christian;Married;Sales and office;Center Left;Heterosexual;LOW;drink brand;tv show;drink brand;NO;0.043478;8
979;56-65;male;Palo Alto;Hindu;Married;Production transportation;Far Left;Heterosexual;LOW;tv show;entertainment;drink brand;NO;0.021739;9
978;18-25;female;Winthrop;Jewish;Widowed;Manager;Center;Heterosexual;LOW;music artist;music artist;drink brand;NO;0.054348;6
977;46-55;female;San Jose;Hindu;Widowed;Natural resources construction;Left;Heterosexual;LOW;entertainment;entertainment;entertainment;NO;0.043478;7
976;56-65;female;Cambridge;Hindu;Married;Sales and office;Center;Heterosexual;LOW;tv show;drink brand;soccer club;NO;0.152174;7
975;18-25;male;Santa Barbara;Muslim;Married;Natural resources construction;Far Left;Heterosexual;LOW;tv show;drink brand;soccer club;NO;0.021739;3
973;18-25;female;San Jose;Jewish;Single;Manager;Center Right;Heterosexual;LOW;drink brand;tv show;drink brand;NO;0.086957;6
972;18-25;female;Winthrop;Muslim;Single;Professional;Center Right;Heterosexual;LOW;music artist;tv show;soccer club;NO;0.141304;5
971;66-75;female;Winthrop;Christian;Single;Professional;Left;Heterosexual;LOW;entertainment;entertainment;entertainment;NO;0.076087;8
970;56-65;male;Santa Barbara;Buddhist;Widowed;Professional;Right;Heterosexual;LOW;tv show;entertainment;entertainment;NO;0.141304;3
969;56-65;male;Santa Barbara;Buddhist;Widowed;Professional;Right;Heterosexual;LOW;tv show;entertainment;entertainment;NO;0.152174;3
968;26-35;female;Palo Alto;Muslim;Married;Professional;Center Left;Heterosexual;LOW;entertainment;entertainment;music artist;NO;0.195652;5
966;18-25;male;Winthrop;Hindu;Divorced;Service;Left;Asexual;LOW;music artist;music artist;entertainment;NO;0.054348;9
965;18-25;female;Winthrop;Jewish;Single;Professional;Center Right;Heterosexual;LOW;tv show;music artist;drink brand;NO;0.130435;6
964;18-25;male;Boston;Christian;Married;Sales and office;Left;Heterosexual;LOW;entertainment;entertainment;music artist;NO;0.043478;8
963;26-35;female;Palo Alto;Buddhist;Married;Professional;Far Left;Heterosexual;LOW;drink brand;tv show;drink brand;NO;0.086957;2
