community;attribute;value;frequency
ALL;AGE;18-25;182
ALL;AGE;26-35;227
ALL;AGE;36-45;161
ALL;AGE;46-55;56
ALL;AGE;56-65;243
ALL;AGE;66-75;62
ALL;AGE;76-85;28
ALL;GENDER;Male;358
ALL;GENDER;Female;603
ALL;RESIDENCE;PaloAlto;108
ALL;RESIDENCE;SantaBarbara;247
ALL;RESIDENCE;Winthrop;192
ALL;RESIDENCE;Boston;169
ALL;RESIDENCE;Cambridge;137
ALL;RESIDENCE;SanJose;104
ALL;RELIGION;Buddhist;193
ALL;RELIGION;Christian;172
ALL;RELIGION;Hindu;255
ALL;RELIGION;Jewish;106
ALL;RELIGION;Muslim;100
ALL;RELIGION;Sikh;15
ALL;RELIGION;TraditionalSpirituality;0
ALL;RELIGION;OtherReligion;0
ALL;RELIGION;Noreligiousaffiliation;81
ALL;MARITAL;Single;355
ALL;MARITAL;Married;286
ALL;MARITAL;Divorced;142
ALL;MARITAL;Widowed;175
ALL;PROFESSION;Manager;64
ALL;PROFESSION;Professional;170
ALL;PROFESSION;Service;56
ALL;PROFESSION;Salesandoffice;231
ALL;PROFESSION;Naturalresourcesconstructionandmaintenance;0
ALL;PROFESSION;Productiontransportationandmaterialmoving;0
ALL;PROFESSION;Student;89
ALL;POLITICAL;FarLeft;127
ALL;POLITICAL;Left;129
ALL;POLITICAL;CenterLeft;120
ALL;POLITICAL;Center;263
ALL;POLITICAL;CenterRight;177
ALL;POLITICAL;Right;138
ALL;POLITICAL;FarRight;5
ALL;SEXUALITY;Asexual;12
ALL;SEXUALITY;Bisexual;42
ALL;SEXUALITY;Heterosexual;869
ALL;SEXUALITY;Homosexual;40
ALL;LIKE1;entertainment;341
ALL;LIKE1;music artist;181
ALL;LIKE1;drink brand;110
ALL;LIKE1;tv show;328
ALL;LIKE2;entertainment;295
ALL;LIKE2;music artist;247
ALL;LIKE2;tv show;278
ALL;LIKE2;drink brand;141
ALL;LIKE3;music artist;121
ALL;LIKE3;entertainment;223
ALL;LIKE3;drink brand;258
ALL;LIKE3;soccer club;355
9;AGE;18-25;1
9;AGE;26-35;1
9;AGE;36-45;3
9;AGE;46-55;11
9;AGE;56-65;30
9;AGE;66-75;7
9;AGE;76-85;1
9;GENDER;Male;27
9;GENDER;Female;28
9;RESIDENCE;PaloAlto;14
9;RESIDENCE;SantaBarbara;25
9;RESIDENCE;Winthrop;5
9;RESIDENCE;Boston;4
9;RESIDENCE;Cambridge;2
9;RESIDENCE;SanJose;4
9;RELIGION;Buddhist;6
9;RELIGION;Christian;1
9;RELIGION;Hindu;36
9;RELIGION;Jewish;7
9;RELIGION;Muslim;3
9;RELIGION;Sikh;2
9;RELIGION;TraditionalSpirituality;0
9;RELIGION;OtherReligion;0
9;RELIGION;Noreligiousaffiliation;0
9;MARITAL;Single;16
9;MARITAL;Married;17
9;MARITAL;Divorced;2
9;MARITAL;Widowed;20
9;PROFESSION;Manager;1
9;PROFESSION;Professional;0
9;PROFESSION;Service;4
9;PROFESSION;Salesandoffice;2
9;PROFESSION;Naturalresourcesconstructionandmaintenance;0
9;PROFESSION;Productiontransportationandmaterialmoving;0
9;PROFESSION;Student;4
9;POLITICAL;FarLeft;3
9;POLITICAL;Left;33
9;POLITICAL;CenterLeft;13
9;POLITICAL;Center;3
9;POLITICAL;CenterRight;1
9;POLITICAL;Right;2
9;POLITICAL;FarRight;0
9;SEXUALITY;Asexual;0
9;SEXUALITY;Bisexual;2
9;SEXUALITY;Heterosexual;50
9;SEXUALITY;Homosexual;3
9;LIKE1;entertainment;16
9;LIKE1;music artist;6
9;LIKE1;drink brand;5
9;LIKE1;tv show;28
9;LIKE2;entertainment;42
9;LIKE2;music artist;5
9;LIKE2;tv show;5
9;LIKE2;drink brand;3
9;LIKE3;music artist;9
9;LIKE3;entertainment;10
9;LIKE3;drink brand;28
9;LIKE3;soccer club;7
8;AGE;18-25;48
8;AGE;26-35;10
8;AGE;36-45;1
8;AGE;46-55;0
8;AGE;56-65;0
8;AGE;66-75;1
8;AGE;76-85;1
8;GENDER;Male;6
8;GENDER;Female;55
8;RESIDENCE;PaloAlto;2
8;RESIDENCE;SantaBarbara;8
8;RESIDENCE;Winthrop;40
8;RESIDENCE;Boston;5
8;RESIDENCE;Cambridge;5
8;RESIDENCE;SanJose;1
8;RELIGION;Buddhist;2
8;RELIGION;Christian;37
8;RELIGION;Hindu;5
8;RELIGION;Jewish;12
8;RELIGION;Muslim;5
8;RELIGION;Sikh;0
8;RELIGION;TraditionalSpirituality;0
8;RELIGION;OtherReligion;0
8;RELIGION;Noreligiousaffiliation;0
8;MARITAL;Single;32
8;MARITAL;Married;14
8;MARITAL;Divorced;4
8;MARITAL;Widowed;11
8;PROFESSION;Manager;1
8;PROFESSION;Professional;28
8;PROFESSION;Service;7
8;PROFESSION;Salesandoffice;11
8;PROFESSION;Naturalresourcesconstructionandmaintenance;0
8;PROFESSION;Productiontransportationandmaterialmoving;0
8;PROFESSION;Student;7
8;POLITICAL;FarLeft;1
8;POLITICAL;Left;2
8;POLITICAL;CenterLeft;2
8;POLITICAL;Center;13
8;POLITICAL;CenterRight;42
8;POLITICAL;Right;1
8;POLITICAL;FarRight;0
8;SEXUALITY;Asexual;5
8;SEXUALITY;Bisexual;7
8;SEXUALITY;Heterosexual;44
8;SEXUALITY;Homosexual;5
8;LIKE1;entertainment;31
8;LIKE1;music artist;9
8;LIKE1;drink brand;10
8;LIKE1;tv show;11
8;LIKE2;entertainment;8
8;LIKE2;music artist;32
8;LIKE2;tv show;10
8;LIKE2;drink brand;11
8;LIKE3;music artist;5
8;LIKE3;entertainment;10
8;LIKE3;drink brand;10
8;LIKE3;soccer club;36
7;AGE;18-25;3
7;AGE;26-35;6
7;AGE;36-45;5
7;AGE;46-55;12
7;AGE;56-65;77
7;AGE;66-75;11
7;AGE;76-85;3
7;GENDER;Male;76
7;GENDER;Female;41
7;RESIDENCE;PaloAlto;15
7;RESIDENCE;SantaBarbara;62
7;RESIDENCE;Winthrop;4
7;RESIDENCE;Boston;27
7;RESIDENCE;Cambridge;5
7;RESIDENCE;SanJose;4
7;RELIGION;Buddhist;18
7;RELIGION;Christian;6
7;RELIGION;Hindu;78
7;RELIGION;Jewish;2
7;RELIGION;Muslim;6
7;RELIGION;Sikh;3
7;RELIGION;TraditionalSpirituality;0
7;RELIGION;OtherReligion;0
7;RELIGION;Noreligiousaffiliation;0
7;MARITAL;Single;27
7;MARITAL;Married;34
7;MARITAL;Divorced;7
7;MARITAL;Widowed;49
7;PROFESSION;Manager;5
7;PROFESSION;Professional;2
