user;userf;linkweight
999;982;0.8703703703703703
999;749;0.8703703703703703
999;456;0.8703703703703703
999;120;0.8703703703703703
999;98;0.2777777777777778
998;248;0.6759259259259259
998;217;0.6728395061728395
997;161;0.654320987654321
997;466;0.8765432098765432
997;983;0.8765432098765432
997;472;0.7993827160493827
996;840;0.5462962962962963
996;494;0.5462962962962963
996;211;0.26543209876543217
996;934;0.8765432098765432
996;598;0.3672839506172839
996;483;0.8765432098765432
995;665;0.3456790123456791
995;306;0.36111111111111116
995;683;0.8641975308641975
995;139;0.8641975308641975
994;217;0.5617283950617284
994;869;0.41975308641975306
994;745;0.8765432098765432
994;901;0.8765432098765432
994;89;0.308641975308642
994;994;0.8765432098765432
994;57;0.2808641975308641
993;986;0.3765432098765432
993;767;0.4876543209876544
993;177;0.19753086419753085
993;730;0.6327160493827161
993;696;0.4722222222222223
993;477;0.7037037037037037
993;964;0.5432098765432098
992;484;0.8734567901234568
992;899;0.4691358024691358
992;777;0.41975308641975306
992;939;0.2901234567901235
991;380;0.5617283950617284
991;724;0.8641975308641975
991;332;0.7592592592592593
991;750;0.38888888888888884
991;287;0.4135802469135803
990;597;0.8580246913580247
990;830;0.8580246913580247
990;371;0.5246913580246914
990;545;0.42592592592592604
990;523;0.4320987654320988
989;977;0.8734567901234568
989;708;0.8734567901234568
989;235;0.8734567901234568
989;95;0.6604938271604939
988;850;0.7067901234567902
988;230;0.2407407407407408
988;801;0.44444444444444453
988;751;0.38888888888888884
988;488;0.4722222222222222
988;880;0.40740740740740744
988;422;0.8641975308641975
987;704;0.521604938271605
987;97;0.4104938271604939
987;427;0.8765432098765432
987;299;0.4320987654320987
986;678;0.6481481481481481
986;993;0.3765432098765432
986;891;0.6481481481481481
986;409;0.5185185185185186
986;447;0.462962962962963
986;533;0.5370370370370371
986;720;0.49382716049382713
985;845;0.5524691358024691
985;843;0.41975308641975306
985;282;0.6635802469135803
985;929;0.23765432098765427
985;32;0.20679012345679004
985;984;0.8765432098765432
985;705;0.7654320987654321
985;493;0.5061728395061729
984;459;0.537037037037037
984;976;0.3179012345679012
984;230;0.5617283950617284
984;465;0.7191358024691358
984;423;0.5555555555555556
984;867;0.7469135802469136
984;192;0.4814814814814814
984;617;0.5185185185185186
984;797;0.7561728395061729
984;798;0.5030864197530864
984;468;0.7191358024691358
984;985;0.8765432098765432
984;391;0.4814814814814814
983;997;0.8765432098765432
983;378;0.2129629629629629
982;999;0.8703703703703703
982;14;0.40740740740740744
982;971;0.6574074074074074
982;289;0.7592592592592593
981;934;0.5462962962962963
981;75;0.38888888888888884
981;497;0.39814814814814836
980;840;0.8888888888888888
980;972;0.34259259259259267
980;820;0.37037037037037046
980;791;0.7777777777777778
980;809;0.5277777777777778
980;980;0.8888888888888888
980;856;0.3333333333333335
980;741;0.5185185185185186
979;159;0.8580246913580247
979;102;0.5802469135802469
978;851;0.8888888888888888
978;10;0.34259259259259256
978;524;0.42592592592592593
978;351;0.41666666666666663
978;970;0.5277777777777778
977;284;0.7716049382716049
977;989;0.8734567901234568
977;852;0.3271604938271605
977;229;0.5308641975308641
976;438;0.35185185185185186
976;984;0.3179012345679012
976;617;0.5000000000000001
976;353;0.5864197530864197
976;192;0.38888888888888884
976;117;0.46604938271604945
976;605;0.3364197530864197
976;187;0.6728395061728396
976;535;0.4876543209876544
976;913;0.36111111111111116
976;883;0.5617283950617284
976;383;0.3549382716049382
976;283;0.2129629629629629
976;132;0.37962962962962954
975;339;0.8765432098765432
975;366;0.6141975308641976
974;205;0.36111111111111116
974;537;0.4444444444444444
974;96;0.42592592592592593
974;74;0.37037037037037046
974;236;0.42592592592592604
974;955;0.38888888888888895
973;677;0.8641975308641975
973;505;0.48765432098765427
973;755;0.6481481481481481
973;693;0.4444444444444444
973;489;0.3858024691358025
973;942;0.8641975308641975
973;726;0.5185185185185186
973;970;0.537037037037037
972;980;0.34259259259259267
972;847;0.5833333333333333
972;537;0.712962962962963
972;168;0.5092592592592593
972;968;0.6419753086419753
972;906;0.6234567901234568
972;756;0.3302469135802468
972;936;0.34259259259259267
972;786;0.5555555555555556
972;820;0.6203703703703703
972;500;0.4444444444444443
972;484;0.632716049382716
972;675;0.5864197530864197
971;955;0.367283950617284
971;710;0.5185185185185184
971;319;0.5185185185185184
971;845;0.41049382716049376
971;829;0.5462962962962963
971;982;0.6574074074074074
971;383;0.5216049382716048
970;912;0.8888888888888888
970;450;0.4537037037037037
970;540;0.5462962962962963
970;93;0.4814814814814814
970;753;0.75
970;978;0.5277777777777778
970;969;0.37962962962962965
970;908;0.4722222222222223
970;831;0.35185185185185175
970;428;0.5277777777777778
970;578;0.6481481481481481
970;973;0.537037037037037
970;465;0.4351851851851851
969;446;0.49382716049382713
969;418;0.6820987654320987
969;876;0.5277777777777778
969;848;0.8641975308641975
969;17;0.46604938271604945
969;626;0.595679012345679
969;786;0.39814814814814814
969;444;0.5802469135802469
969;907;0.617283950617284
969;970;0.37962962962962965
969;844;0.7345679012345678
969;416;0.7160493827160493
969;473;0.5833333333333334
969;923;0.5648148148148149
968;469;0.43518518518518523
968;263;0.40740740740740744
968;660;0.537037037037037
968;718;0.4351851851851851
968;848;0.5462962962962963
968;845;0.558641975308642
968;471;0.574074074074074
