community;attribute;value;frequency
ALL;AGE;18-25;2368
ALL;AGE;26-35;1781
ALL;AGE;36-45;837
ALL;AGE;46-55;455
ALL;AGE;56-65;1694
ALL;AGE;66-75;2049
ALL;AGE;76-85;438
ALL;GENDER;Male;3378
ALL;GENDER;Female;6254
ALL;RESIDENCE;PaloAlto;2152
ALL;RESIDENCE;SantaBarbara;1973
ALL;RESIDENCE;Winthrop;921
ALL;RESIDENCE;Boston;1032
ALL;RESIDENCE;Cambridge;1185
ALL;RESIDENCE;SanJose;2361
ALL;RELIGION;Buddhist;1333
ALL;RELIGION;Christian;3203
ALL;RELIGION;Hindu;1922
ALL;RELIGION;Jewish;1501
ALL;RELIGION;Muslim;928
ALL;RELIGION;Sikh;104
ALL;RELIGION;TraditionalSpirituality;0
ALL;RELIGION;OtherReligion;0
ALL;RELIGION;Noreligiousaffiliation;370
ALL;MARITAL;Single;3556
ALL;MARITAL;Married;3622
ALL;MARITAL;Divorced;1177
ALL;MARITAL;Widowed;1263
ALL;PROFESSION;Manager;480
ALL;PROFESSION;Professional;1015
ALL;PROFESSION;Service;482
ALL;PROFESSION;Salesandoffice;1567
ALL;PROFESSION;Naturalresourcesconstructionandmaintenance;0
ALL;PROFESSION;Productiontransportationandmaterialmoving;0
ALL;PROFESSION;Student;1968
ALL;POLITICAL;FarLeft;1899
ALL;POLITICAL;Left;1383
ALL;POLITICAL;CenterLeft;2074
ALL;POLITICAL;Center;1594
ALL;POLITICAL;CenterRight;1084
ALL;POLITICAL;Right;1549
ALL;POLITICAL;FarRight;41
ALL;SEXUALITY;Asexual;214
ALL;SEXUALITY;Bisexual;472
ALL;SEXUALITY;Heterosexual;8550
ALL;SEXUALITY;Homosexual;404
ALL;LIKE1;entertainment;3811
ALL;LIKE1;music artist;1522
ALL;LIKE1;drink brand;2170
ALL;LIKE1;tv show;2118
ALL;LIKE2;entertainment;3067
ALL;LIKE2;music artist;1522
ALL;LIKE2;tv show;2948
ALL;LIKE2;drink brand;2085
ALL;LIKE3;music artist;1370
ALL;LIKE3;entertainment;4572
ALL;LIKE3;drink brand;1606
ALL;LIKE3;soccer club;2076
9;AGE;18-25;4
9;AGE;26-35;0
9;AGE;36-45;3
9;AGE;46-55;8
9;AGE;56-65;55
9;AGE;66-75;10
9;AGE;76-85;1
9;GENDER;Male;55
9;GENDER;Female;26
9;RESIDENCE;PaloAlto;10
9;RESIDENCE;SantaBarbara;58
9;RESIDENCE;Winthrop;1
9;RESIDENCE;Boston;2
9;RESIDENCE;Cambridge;6
9;RESIDENCE;SanJose;4
9;RELIGION;Buddhist;7
9;RELIGION;Christian;2
9;RELIGION;Hindu;67
9;RELIGION;Jewish;0
9;RELIGION;Muslim;1
9;RELIGION;Sikh;3
