user;age;gender;residence;religion;maritalstatus;profession;politicalorientation;sexualorientation;numfriends;like1;like2;like3;classvalue;auth;community
999;18-25;female;Santa Barbara;Jewish;Widowed;Production transportation;Center Right;Heterosexual;LOW;drink brand;tv show;drink brand;NO;0.054348;8
998;36-45;female;Winthrop;Hindu;Single;Production transportation;Left;Heterosexual;LOW;entertainment;entertainment;music artist;NO;0.021739;9
997;46-55;male;Boston;Buddhist;Married;Manager;Far Left;Heterosexual;LOW;music artist;music artist;entertainment;NO;0.043478;7
996;66-75;female;Palo Alto;Jewish;Married;Service;Center Left;Heterosexual;LOW;entertainment;entertainment;entertainment;NO;0.065217;9
995;36-45;female;Boston;Christian;Divorced;Professional;Center Left;Heterosexual;LOW;entertainment;entertainment;music artist;NO;0.043478;0
994;66-75;female;San Jose;Christian;Single;Production transportation;Left;Heterosexual;LOW;entertainment;entertainment;music artist;NO;0.076087;4
993;18-25;male;San Jose;Christian;Single;Professional;Center Right;Heterosexual;LOW;entertainment;music artist;soccer club;NO;0.076087;8
992;66-75;female;Winthrop;Buddhist;Married;Professional;Center;Heterosexual;LOW;music artist;tv show;soccer club;NO;0.043478;5
991;26-35;female;San Jose;Buddhist;Single;Natural resources construction;Center;Heterosexual;LOW;entertainment;tv show;soccer club;NO;0.054348;2
990;26-35;female;San Jose;Christian;Divorced;Service;Center Right;Heterosexual;LOW;music artist;music artist;drink brand;NO;0.054348;6
989;56-65;female;Boston;Buddhist;Married;Natural resources construction;Far Left;Heterosexual;LOW;music artist;tv show;soccer club;NO;0.043478;7
988;26-35;female;Santa Barbara;Hindu;Widowed;Sales and office;Center Right;Heterosexual;LOW;tv show;entertainment;entertainment;NO;0.076087;3
987;56-65;male;San Jose;Jewish;Married;Natural resources construction;Far Left;Heterosexual;LOW;entertainment;tv show;entertainment;NO;0.043478;4
986;26-35;female;Cambridge;Buddhist;Married;Sales and office;Center;Heterosexual;LOW;entertainment;entertainment;entertainment;YES;0.076087;2
985;66-75;male;Santa Barbara;Buddhist;Widowed;Production transportation;Far Left;Heterosexual;LOW;entertainment;entertainment;music artist;NO;0.086957;7
984;66-75;male;Santa Barbara;Buddhist;Widowed;Production transportation;Far Left;Heterosexual;LOW;entertainment;entertainment;music artist;NO;0.141304;7
983;46-55;male;Boston;Buddhist;Married;Manager;Far Left;Heterosexual;LOW;music artist;music artist;entertainment;NO;0.021739;7
982;18-25;female;Santa Barbara;Jewish;Widowed;Production transportation;Center Right;Heterosexual;LOW;drink brand;tv show;drink brand;NO;0.043478;8
979;46-55;female;Palo Alto;Buddhist;Married;Production transportation;Left;Bisexual;LOW;entertainment;entertainment;entertainment;NO;0.021739;9
978;18-25;female;San Jose;Jewish;Single;Professional;Center Right;Heterosexual;LOW;tv show;drink brand;soccer club;NO;0.054348;6
977;56-65;female;Boston;Buddhist;Married;Natural resources construction;Far Left;Heterosexual;LOW;music artist;tv show;soccer club;NO;0.043478;7
976;46-55;male;Santa Barbara;Muslim;Married;Natural resources construction;Left;Heterosexual;LOW;drink brand;tv show;drink brand;NO;0.152174;7
975;26-35;male;Santa Barbara;Hindu;Widowed;Service;Right;Heterosexual;LOW;entertainment;entertainment;entertainment;NO;0.021739;3
973;76-85;female;Winthrop;Christian;Single;Professional;Far Left;Heterosexual;LOW;tv show;drink brand;soccer club;NO;0.086957;6
972;18-25;female;Winthrop;Muslim;Single;Professional;Center Right;Heterosexual;LOW;music artist;tv show;soccer club;NO;0.141304;5
971;26-35;female;Cambridge;Christian;Single;Sales and office;Center Right;Heterosexual;LOW;music artist;music artist;drink brand;YES;0.076087;8
970;56-65;male;Santa Barbara;Buddhist;Single;Natural resources construction;Right;Heterosexual;LOW;entertainment;entertainment;entertainment;NO;0.141304;3
969;56-65;male;Santa Barbara;Buddhist;Single;Natural resources construction;Right;Heterosexual;LOW;entertainment;entertainment;entertainment;NO;0.152174;3
968;18-25;female;Cambridge;Christian;Married;Professional;Center;Heterosexual;LOW;music artist;tv show;soccer club;NO;0.195652;5
966;46-55;female;Santa Barbara;Hindu;Married;Natural resources construction;Left;Heterosexual;LOW;music artist;music artist;entertainment;NO;0.054348;9
965;18-25;female;Winthrop;Jewish;Single;Professional;Center Right;Heterosexual;LOW;tv show;music artist;drink brand;NO;0.130435;6
964;26-35;female;Palo Alto;Muslim;Widowed;Student;Center;Bisexual;LOW;tv show;drink brand;soccer club;NO;0.043478;8
963;36-45;female;Cambridge;Buddhist;Divorced;Sales and office;Center Left;Heterosexual;LOW;entertainment;tv show;soccer club;NO;0.086957;2
962;56-65;female;Palo Alto;Jewish;Married;Natural resources construction;Left;Heterosexual;LOW;tv show;entertainment;drink brand;NO;0.076087;9
960;26-35;female;Winthrop;Christian;Single;Professional;Far Right;Heterosexual;LOW;entertainment;entertainment;entertainment;NO;0.021739;6
957;18-25;female;Winthrop;Muslim;Married;Sales and office;Center Left;Homosexual;LOW;entertainment;entertainment;music artist;NO;0.065217;8
955;26-35;female;Cambridge;Sikh;Single;Professional;Center;Heterosexual;LOW;entertainment;tv show;soccer club;YES;0.130435;2
953;26-35;female;Cambridge;Muslim;Single;Manager;Center Left;Heterosexual;LOW;entertainment;tv show;soccer club;YES;0.141304;2
951;18-25;female;Winthrop;Christian;Married;Professional;Center Right;Heterosexual;LOW;entertainment;entertainment;entertainment;NO;0.097826;6
950;56-65;male;Santa Barbara;Hindu;Widowed;Natural resources construction;Left;Heterosexual;LOW;tv show;entertainment;drink brand;NO;0.141304;9
949;18-25;female;Winthrop;Christian;Married;Professional;Center Right;Heterosexual;LOW;music artist;music artist;entertainment;NO;0.217391;6
